company,price,change
Microsoft Corporation (MSFT),420.45,(-0.23%)
International Business Machines Corporation (IBM),190.90,(+1.07%)
Union Pacific Corporation (UNP),241.55,(-0.40%)
Costco Wholesale Corporation (COST),705.69,(-0.79%)
McDonald's Corporation (MCD),275.54,(-0.79%)
Visa Inc. (V),276.96,(-0.53%)
Walmart Inc. (WMT),59.43,(+0.46%)
The Walt Disney Company (DIS),118.98,(-3.13%)
3M Company (MMM),93.19,(+0.38%)
Intel Corporation (INTC),40.33,(-8.22%)
American Express Company (AXP),226.63,(+0.49%)
Apple Inc. (AAPL),169.65,(+0.48%)
The Boeing Company (BA),184.92,(-1.66%)
"Cisco Systems, Inc. (CSCO)",48.74,(-0.45%)
"The Goldman Sachs Group, Inc. (GS)",414.00,(+0.94%)
JPMorgan Chase & Co. (JPM),198.30,(-0.28%)
"Salesforce, Inc. (CRM)",304.74,(+0.24%)
Verizon Communications Inc. (VZ),42.84,(+0.71%)
